original row	URL hash	original classification task	classification outcome	labels from human annotation	human annotation for training vs. eval	used original human annotation	approach to training data	original human annotation source	prescreening for crowdwork	annotator compensation	training for human annotators	formal instructions	multiple annotator overlap	synthesis of annotator overlap	reported inter-annotator agreement	total num of human annotators	median num of annotators per item	link to dataset available	Corpus	Year	Document Type	Cited by	Access Type	label source score	score	max score	norm score
92	708fb39c97d35d9ddcf13c4cd9b9c45d810769e7f7c0311e21de9289fd8cd805	yes	Medical	Yes for all items	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Life Sci & Biomedical	2016	Article	59	Open Access	1.0			
93	e7e6f8048339ed4ef643b0227e7a6f5d01176558ff6cbbe14f1b77515738b8cf	yes	Physical	No / machine-labeled	N/A	N/A	Machine-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Life Sci & Biomedical	2017	Article	16	Open Access	1.0			
94	295724da1486521de3ce822b2903033ec3b0602fd29a3958ac913b53a6db306e	yes	Medical	No information (implicit)	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Life Sci & Biomedical	2018	Article	0	Open Access	0.0			
95	ad33a442ae1aeca7f65d7c2f612c3338db83652833ac75f3c75a300714c5b8bd	yes	Soft/hardware	No / machine-labeled	N/A	N/A	Machine-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Life Sci & Biomedical	2014	Article	47	Open Access	1.0			
96	f587e1131e761e0ddd7af473fdfa1d387e4471f5a6a430bb06facf4ad45036e6	yes	Medical	Yes for all items	HA for training data	Only original	Original human-labeled dataset	Other w/ claim of expertise	N/A	No information	some training details	no Instructions beyond question text	Yes for all items	Qualitative / discussion	no	2	2	yes	Life Sci & Biomedical	2017	Article	9	Open Access	1.0	11.0	13.0	0.8461538461538461
97	6526254b05a7214913047ef214762ae98547411ff1715cfde6bad2c8ea852219	yes	Biological	No information (implicit)	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Life Sci & Biomedical	2016	Article	28		0.0			
98	71d07c319c8904dd292ae8a606a2387d2642a9f41436b0082ca8c738e1c91219	yes	Medical	Yes for all items	HA for training data	Only original	Original human-labeled dataset	Other w/ claim of expertise	N/A	No information	No information	Instructions w/ formal definition or examples	No information	N/A	N/A	-	-	no	Life Sci & Biomedical	2016	Article	5	Open Access	1.0	5.0	11.0	0.45454545454545453
99	ce481e3e7d47bad19e749888d0dfa5fda469a3f91e2f33cbddedd938f6fa5d97	yes	Medical	Yes for all items	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Life Sci & Biomedical	2018	Article	1		1.0			
100	909b17f7b509c482438681f9b4263bdb1d2678fcff3d2cf0b00232d86ee041f7	no	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Life Sci & Biomedical	2015	Article	0					
101	94ad8c9b7ec2ae92d99fe6b4a659686da9220169e67d1e0103bfb9e56dae9499	yes	Biological	No information (implicit)	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Life Sci & Biomedical	2016	Article	34	Open Access	0.0			
102	4d7741c9130d63e6e5174693cebf8c2eb05d8b2f55072093db9f1bd3eb83e719	yes	Medical	No information (implicit)	Unsure	Unsure	Unsure	No information	N/A	No information	No information	Instructions w/ formal definition or examples	No information	N/A	N/A	-	-	no	Life Sci & Biomedical	2015	Article	9		0.0	1.0	11.0	0.09090909090909091
103	a83106121fc518a1cf3a7d8947998ce5ac7c268f7182472b5b82b0eee58fd176	yes	Biological	Yes for some items	HA for training data	Original and external	Original human-labeled dataset	Paper's authors	N/A	Paper authorship	No information	No information	No information	N/A	N/A	-	-	no	Life Sci & Biomedical	2016	Article	5		1.0	5.0	11.0	0.45454545454545453
104	cddb738991a773448bdc391007c7ca2594bcb174c191e5b2ea8d40c489109a24	no	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Life Sci & Biomedical	2013	Article	11	Open Access				
105	c761344ccb65fed2d1c1afe4741ad4677bed9acd52a0f8237285057709959ef9	no	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Life Sci & Biomedical	2018	Article	0					
106	7d53cf673d6cee52a91aaab101a3266eb30fa5bfeaceae0994de776b51c9e49b	no	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Life Sci & Biomedical	2018	Article	2	Open Access				
107	d319a86b4e7c0de7400e35b0cb30c5ecf9effa625dbfe1d206f99b00b8916a9e	no	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Life Sci & Biomedical	2017	Article	4	Open Access				
108	c72aa6e2dc591be79e029002cfe13e7f0b08682264e3eece430e2eb5639b3ab4	yes	Medical	No information (implicit)	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Life Sci & Biomedical	2018	Conference Paper	5		0.0			
109	e715250d195f7b80cc9ce893d46e55d1c55540a6af2c513ccbd1a90be5d3cf1b	yes	Geo/ecological	Yes for all items	HA for training data	Only original	Original human-labeled dataset	Paper's authors	N/A	Paper authorship	No information	No information	No information	N/A	N/A	-	-	no	Life Sci & Biomedical	2016	Article	10	Open Access	1.0	5.0	11.0	0.45454545454545453
110	fe985267b44ccff27ec552e4de098d7ef21ddc0c526b7b0c0a29ba045a8ef777	yes	Activities & actions	Yes for all items	HA for training data	Only original	Original human-labeled dataset	Survey/self-reported	N/A	No information	No information	No information	No	N/A	N/A	3	1	no	Life Sci & Biomedical	2018	Article	0	Open Access	1.0	7.0	11.0	0.6363636363636364
111	ba51c42a0c665b30980d11c51f45614bbb73b2b0271dacd1d44311e7e2966c7b	no	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Life Sci & Biomedical	2017	Article	3					
112	8822c83bc0ead5d772ca1fb96d8e56f375240cbe3136be1bd618d0dc2ebd62a3	yes	Medical	Yes for all items	HA for training data	Only original	Original human-labeled dataset	No information	N/A	No information	No information	Instructions w/ formal definition or examples	No information	N/A	N/A	-	-	no	Soc Sci & Humanities	2017	Article	9	Open Access	1.0	4.0	11.0	0.36363636363636365
113	f7f31e6bb7047a1f9cd9b0b4609c67d288919798862ea5848cb29fd9fc44b618	yes	Linguistic	No information (implicit)	HA for training data	Unsure	Unsure	No information	N/A	No information	No information	No information	No information	N/A	N/A	-	-	no	Soc Sci & Humanities	2018	Conference Paper	2		0.0	1.0	11.0	0.09090909090909091
114	c27cf09e3e8f3c1411a5631c393ba99c2c4710a7a6675ff4b1f65f17089085af	yes	Activities & actions	Yes for all items	HA for evaluation only	Unsure	Unsure	No information	N/A	No information	No information	No information	No information	N/A	N/A	-	-	no	Soc Sci & Humanities	2018	Conference Paper	1		1.0	2.0	11.0	0.18181818181818182
115	d88b75412a55e8a863ade566f0f89f0a5417374c150e70cf801a184af77bedda	yes	Medical	Yes for all items	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2018	Conference Paper	0		1.0			
116	b62e2eeebf792ea1e97940a8fb0b1ec7d2e334b3be31a326001b062d7e6dab6e	yes	Physical	No / machine-labeled	N/A	N/A	Machine-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2015	Conference Paper	0		1.0			
117	671d74b8ab8f19567f29085f7b8e854f8d0144753548ff5a73a00f1d73e7cd0d	N/A	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2018	Conference Paper	0					
118	c80bd2c9144ce49eee0dbc9598c6690ac9fc354f78f094b30c284fce52ac6626	no	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2017	Conference Paper	1					
119	89232c3a69f3bc08b52555661aed1f549b82a0d4b87e6efa6dfab528f3b8b762	yes	Soft/hardware	No / machine-labeled	N/A	N/A	Machine-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2018	Conference Paper	0		1.0			
120	ab32a1676394820bdd208d57f28ea75db372b083c221866229d8900b6892c854	yes	Linguistic	Yes for some items	HA for training data	Only original	Original human-labeled dataset	No information	N/A	No information	No information	No information	No information	N/A	N/A	-	-	no	Soc Sci & Humanities	2013	Article	1		1.0	3.0	11.0	0.2727272727272727
121	185e109b497ebc93e039744397584063b42b5cac0ab48bed558fa684d58cdc3a	no	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2018	Conference Paper	6					
122	d714f8c79f775a198f78e24b3af008222e3fd334749782b7015de3d789d4ed8f	yes	Linguistic	No / machine-labeled	N/A	N/A	Machine-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2017	Conference Paper	4		1.0			
123	2dc05caf41843b24c3a3f65df18f73a9bfdc91731490a177a83845fb87a8c195	yes	Activities & actions	Yes for all items	HA for training data	Only original	Original human-labeled dataset	Paper's authors	N/A	Paper authorship	No information	Instructions w/ formal definition or examples	Yes for all items	Qualitative / discussion	no	2	2	no	Soc Sci & Humanities	2018	Article	4	Open Access	1.0	10.0	13.0	0.7692307692307693
124	20a2ea40792cb72c0d2d5b504b40360b635c9d5605f17ccaa7dd04ad525f93b2	yes	Linguistic	No information (implicit)	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2017	Conference Paper	1		0.0			
125	dafac9ffcf3928a4e19d3e6cba2903a463888e077dd73ecfab192cb34b862f71	yes	Demographic	No / machine-labeled	N/A	N/A	Machine-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2017	Conference Paper	1		1.0			
126	d1ab001e1dcd0ce60024c8fc26b14c4ddeeff60d7e480ab0e4d9c07e46fbcc3d	yes	Geo/ecological	No information (implicit)	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2016	Conference Paper	4	Open Access	0.0			
127	d9f5a60580bf1b00bfe2e0bbf50e44e30384f36e4980b9431f3e11ab4e901a3b	yes	Linguistic	Yes for all items	HA for training data	Original and external	Original human-labeled dataset	No information	N/A	No information	No information	No information	No information	N/A	N/A	-	-	yes	Soc Sci & Humanities	2018	Article	4		1.0	4.0	11.0	0.36363636363636365
128	911e5113f737857a264bb616e91dcca3348093455eeb411165e151408cc846dd	no	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2016	Article	13	Open Access				
129	0e4af22a9b05989681e0ebcdb8c8b63fb9ced4323ca2ade3f9f2b5affbd1b40a	yes	Linguistic	No / machine-labeled	N/A	N/A	Machine-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2018	Conference Paper	0		1.0			
130	45d7b1450fdd1ac9140e033537c3ab17983c5d07687fa09da801a5ff40aca7c1	yes	Linguistic	Yes for some items	HA for evaluation only	Only original	Original human-labeled dataset	No information	N/A	No information	No information	Instructions w/ formal definition or examples	Yes for all items	Quantitative / no discussion	yes	3	3	no	Soc Sci & Humanities	2018	Article	7		1.0	9.0	13.0	0.6923076923076923
131	752efd79f297ffbc7407083079bc4efbe64eafb115b67e6eb87b7d3bcb5e76ba	no	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2018	Conference Paper	3					
132	d04b75f4fe9b89080ef3055b33133c98252147331252f02add93153c3987a16b	yes	Soft/hardware	Yes for all items	HA for training data	Unsure	Unsure	Other w/ claim of expertise	N/A	No information	No information	Instructions w/ formal definition or examples	No	N/A	N/A	1	1	no	Physical & Enviro Sci	2018	Conference Paper	1		1.0	7.0	11.0	0.6363636363636364
133	0968e15943a22139269827f959d34e85042fcaf84c0af4014877b0c52a7ba69f	yes	Medical	Yes for all items	HA for training data	Original and external	Original human-labeled dataset	Paper's authors	N/A	Paper authorship	some training details	Instructions w/ formal definition or examples	No	N/A	N/A	1	1	yes	Physical & Enviro Sci	2013	Article	6	Open Access	1.0	11.0	11.0	1.0
134	418e97ffb38b973f54758cf4235ae3235a019f683b40211adad6e47928c737ab	no	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2016	Conference Paper	8					
135	13a3918cca8a0393b655f5144a7489273cf67f04ef69da589e8bda0e473ed697	yes	Geo/ecological	No information (implicit)	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2015	Article	18		0.0			
136	b0ebc4e3d2bc02c56579a0ad598d51fa19a3bbf4b0d9ed7ace188c58d5370702	yes	Medical	Yes for all items	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2017	Article	19	Open Access	1.0			
137	82a0616661193c03a6ce6990d9631f02cf1c7aa12c6c368fde627c290c9c8dd5	yes	Medical	Yes for all items	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2014	Conference Paper	0		1.0			
138	3c200036b4ceecc71b606705b4e5f139020a0c571235060d809a89c4632654b0	yes	Medical	Yes for all items	HA for training data	Only original	Original human-labeled dataset	Other (no claim of expertise)	N/A	No information	No information	Instructions w/ formal definition or examples	No information	N/A	N/A	-	-	no	Physical & Enviro Sci	2018	Conference Paper	0		1.0	5.0	11.0	0.45454545454545453
139	5ca9451a734078da4ff963bbd639094fd8f468674030f419149f5a0f4623e3b7	no	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2016	Conference Paper	0					
140	606f0a2a63e1479c65132c6aef8a3a0f142ab0e5970f39265242bbb274ea9524	yes	Soft/hardware	No information (implicit)	HA for training data	Only original	Original human-labeled dataset	Paper's authors	N/A	Paper authorship	No information	Instructions w/ formal definition or examples	No information	N/A	N/A	-	-	no	Physical & Enviro Sci	2017	Conference Paper	0		0.0	5.0	11.0	0.45454545454545453
141	a8aaacc57a7eccaced3319f90063f58194cd004ed0e8d6f1862cedb9ec1075dd	no	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2016	Article	0					
142	ceb0f7fe85688cd962f2f911a56c3057035d6d692e299dfd0dd541450834a5c5	no	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2016	Article	7					
143	fea343859d4ff7852e540f0f9a0102f0915a0636a27ad5041f1281914dfa5d46	yes	Soft/hardware	No / machine-labeled	N/A	N/A	Machine-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2014	Conference Paper	3		1.0			
144	539c45761aeed18fe2a10098338c00bfff0c3de61b2cb6e2b608036a09a9db76	yes	Soft/hardware	No / machine-labeled	N/A	N/A	Machine-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2018	Conference Paper	1		1.0			
145	f7b0f51be3a9505a16149be9a675368f5d25e66726a0a2b90eff9251a1f7ee41	yes	Medical	Yes for all items	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2018	Conference Paper	0		1.0			
146	63c56a36ec3ada8c986830c7c0f53c8daea97f5aa230e4bbc1cf8c47e6bcbca3	yes	Biological	No information (implicit)	Unsure	Unsure	Unsure	No information	N/A	No information	No information	No information	No information	N/A	N/A	-	-	no	Physical & Enviro Sci	2018	Article	1	Open Access	0.0	0.0	11.0	0.0
147	ac775c5191f80c429abe8d99b9ac97abc90b3cd2d10e16102b399df1fa12ca00	yes	Geo/ecological	Yes for some items	HA for training data	Original and external	Original human-labeled dataset	Other w/ claim of expertise	N/A	No information	No information	Instructions w/ formal definition or examples	No information	N/A	N/A	-	-	no	Physical & Enviro Sci	2018	Article	1		1.0	5.0	11.0	0.45454545454545453
148	ef357e4ff29e0f6cd733bb9af5f6858038ff04f1c1764a5be95d655c7683a769	yes	Biological	No / machine-labeled	N/A	N/A	Machine-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2018	Article	13	Open Access	1.0			
149	41bc56b2a9979eb02dab7e99c56ab73c2007a7db3e702944625b95f8e508c35c	yes	Soft/hardware	No / machine-labeled	N/A	N/A	Machine-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2018	Article	6	Open Access	1.0			
150	cb6d439afe94d3a5e652af25b176def0264d1e82f07f11feaf85d30310cba3fc	yes	Soft/hardware	No / machine-labeled	N/A	N/A	Machine-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2017	Conference Paper	3		1.0			
151	b80d57f5a594285d198db828f50778d065669218f05b39737d62ae17dd36998b	yes	Physical	Yes for all items	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2016	Conference Paper	1	Open Access	1.0			
152	38e309ae616fbdc0cacb1f937bb33f092779b29e84765803fd28fe2b113e3f73	yes	Linguistic	Yes for all items	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2018	Article	9		1.0			
153	5fb9e1eafdbf08d17ff48d733f61c321cc1fb57959ef3641ccd9ec4f31db4ede	yes	Soft/hardware	No / machine-labeled	N/A	N/A	Machine-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2018	Conference Paper	2		1.0			
154	64b61dee6d1e73dd8a98dbfdbd2a41c13e423a3197e5534df3b61fdb69fd645d	no	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2016	Article	33					
155	7223f058c0bfc4f228da6ea946236c2ba7df068ebf8fa5da0a730292afde5060	no	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2017	Article	7					
156	b583a99feeeda11b0eb9e058121ed0cbdf035fef2c732e09cc9d32ae85f1cf86	yes	Linguistic	No information (implicit)	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2018	Conference Paper	0		0.0			
157	c4a64934ec40885b611706d736810a8f9ed4301fb50b013ab2e40ba9b03303cf	yes	Geo/ecological	No information (implicit)	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2018	Conference Paper	0		0.0			
158	c9f50e9b6de938d99b7448eb5b3938a90f76b2210aaf279293b1b4806d1b2813	yes	Other	Yes for all items	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2018	Conference Paper	1		1.0			
159	76b59eeebb3e2f4b7d00912178d58c143f4329b67030d6f7082f562c6e095442	yes	Activities & actions	No / machine-labeled	N/A	N/A	Machine-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2018	Conference Paper	1		1.0			
160	cd9ba02f6dc2b740cb09e6f21fff0c41530566134464df21b9226d44dbd846e4	N/A	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2018	Article	0					
161	5ee9e071a5fe3a5aa4cb866b4889fc3b03c5ee9c940647f1e0a3d5c3a2a5d1e7	yes	Geo/ecological	Yes for all items	HA for training data	Only original	Original human-labeled dataset	Paper's authors	N/A	Paper authorship	No information	Instructions w/ formal definition or examples	No information	N/A	N/A	-	-	no	Soc Sci & Humanities	2017	Article	0	Open Access	1.0	6.0	11.0	0.5454545454545454
162	08e7c5be0d8c2f3cde233f0bee10103e7e633f5c9b2b32a3cded8ed787b18fb9	yes	Linguistic	No information (implicit)	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2016	Conference Paper	7		0.0			
163	3c345b824a309d22c9e9a70fe4b0f6a7122f67f4d55e3ed5d1331a573bce1016	no	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2018	Conference Paper	0					
164	40515a4f365df4d334e208c458f121ae7f0324b04e97d7738efcd4447f163487	yes	Linguistic	Yes for some items	HA for training data	Only original	Original human-labeled dataset	No information	N/A	No information	No information	No information	No information	N/A	N/A	-	-	no	Soc Sci & Humanities	2018	Article	0		1.0	3.0	11.0	0.2727272727272727
165	5630b4965f8ec79383e3f5c1726ea9bf1e1af561980546f159bd4a04865e486e	N/A	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2016	Article	26					
166	03dd7cfa80cc96a087eb51e63bda256652d38c4591cd5b6dbdc192fa7caabe98	no	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2014	Article	1	Open Access				
167	b1c7fd174a0577d3f04f69ad4ea6429251fe2af721d1ca7f425d275607286fa4	yes	Linguistic	Yes for all items	HA for training data	Only original	Original human-labeled dataset	Other w/ claim of expertise	N/A	Volunteer / explicit no compensation	some training details	No information	No information	N/A	N/A	5	-	no	Soc Sci & Humanities	2016	Article	13		1.0	7.0	11.0	0.6363636363636364
168	8cafb6c81a402b329d98741f2dbe4350f9a6bbc63895f559c28f0ab15f68c8ce	yes	Soft/hardware	No information (implicit)	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2015	Conference Paper	0		0.0			
169	ac4be7d135ecad7976bdf572fdef9d6e4832efd954805dc0d200718b85e39910	yes	Linguistic	Yes for all items	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2013	Article	7		1.0			
170	e82b81df085bd0e6c18119248393551b7d7011af58259cb0e398bdc2be515afc	yes	Other	Yes for all items	HA for training data	Original and external	Original human-labeled dataset	No information	N/A	No information	No information	Instructions w/ formal definition or examples	No information	N/A	N/A	-	-	no	Soc Sci & Humanities	2014	Article	5		1.0	4.0	11.0	0.36363636363636365
171	07594aa088ecf2cc4ae5acb8d851df75d850d6cf02fecdb75f28d6b6bbe172a2	no	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2014	Conference Paper	8					
172	4eea77784edb241819871437d7726375c2e71198e77812a9017e5cd92f47f7c4	yes	Medical	Yes for all items	HA for training data	Only original	Original human-labeled dataset	Paper's authors	N/A	Paper authorship	some training details	Instructions w/ formal definition or examples	No information	N/A	N/A	2	-	no	Physical & Enviro Sci	2017	Article	6	Open Access	1.0	8.0	11.0	0.7272727272727273
173	87cf3742430b2f1673e9e48fe11a4d3e41ccfb3a7d88cf65de8c4ffa116e2db5	yes	Geo/ecological	No information (implicit)	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2018	Conference Paper	1		0.0			
174	a942f51b361722ece12975bec68a458497867b6be7190f7e56a81c11ec36bd64	N/A	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2017	Article	0					
175	a43236a0a1ac8b6631485c935a169a437722ff060681796c2e05f1b5d96d8709	yes	Physical	No / machine-labeled	N/A	N/A	Machine-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2018	Article	0	Open Access	1.0			
176	0754b63d2bd5bcb65bd2be6d4d46be2bba38a89873facc5ca2e3566ce9fd74b9	yes	Physical	No / machine-labeled	N/A	N/A	Machine-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2018	Article	17		1.0			
177	19b549d866da489f1e59fb1929d9e2e8689aa43712ba9049535d9706289b7885	yes	Geo/ecological	No information (implicit)	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2017	Article	0		0.0			
178	94401c1491211ec4fac0f4deb17b6d7dc8bc15162b39b5d041d36dd6cc69077a	yes	Physical	No / machine-labeled	N/A	N/A	Machine-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2015	Article	56	Open Access	1.0			
179	06ed1558d49eb075e5a55e18a3ee2a94643ff4911a554e77e28349608f54f30d	yes	Physical	No / machine-labeled	N/A	N/A	Machine-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Physical & Enviro Sci	2018	Conference Paper	0		1.0			
